Nom Magasin,Sessions,% de visiteurs qui reviennent,Visiteurs
Dufrançais - Billom - E-commerce,130,0.4519230769230769,104
Durruty Matériaux - Bayonne - E-commerce,130,0.25225225225225223,111
Millancourt et Nicolas - Oisemont - E-commerce,130,0.4811320754716981,106
Joly - Pierre-de-Bresse - E-commerce,127,0.2702702702702703,111
Labenne Rougier - Fronsac - E-commerce,126,0.22321428571428573,112
Labenne Rougier - Pugnac - E-commerce,126,0.35514018691588783,107
François Matériaux - Villefranche-de-Rouergue - E-commerce,125,0.36792452830188677,106
Pagani Distribution - Oyonnax - E-commerce,124,0.46511627906976744,86
Bianucci Matériaux - Uzes,123,0.18181818181818182,110
GBMC - Pontarlier,123,0.297029702970297,101
Lorcamat - Yutz,123,0.28703703703703703,108
Labenne Rougier - Avensan - E-commerce,121,0.3979591836734694,98
Leveilleau - Sainte-Jamme-sur-Sarthe,121,0.2761904761904762,105
Ballivy - Ambronay,120,0.3564356435643564,101
Lunel Négoce - Gisors,120,0.29292929292929293,99
Augier - Saint-Romain-en-Viennois,119,0.2222222222222222,108
Labenne Rougier - Parentis-en-Born - E-commerce,119,0.34782608695652173,92
Bianucci Matériaux - Nîmes,118,0.21428571428571427,112
Favre dAnne - Frontenex - E-commerce,118,0.32967032967032966,91
Henrio PPI - Lanester,118,0.21568627450980393,102
Sodimat - Choisy-au-Bac,118,0.31958762886597936,97
Vilvert - Montrond-les-bains - E-commerce,118,0.17894736842105263,95
Gouéry - Breuilpont,117,0.28431372549019607,102
Matériaux de Maintenon - Maintenon - E-commerce,117,0.3020833333333333,96
Bray - Mouroux,114,0.2727272727272727,88
Culoz Matériaux - Culoz,114,0.3855421686746988,83
Alti Matériaux - Sainte-Sigolène,113,0.30337078651685395,89
Martinique Matériaux - Fort-de-France (Martinique),113,0.26595744680851063,94
Delmonico Dorel - Le Pouzin,111,0.3118279569892473,93
Gabriel - Grenay - E-commerce,111,0.3076923076923077,91
Bâti-Colman - Rosbruck,109,0.1935483870967742,93
Boulard Verdier - Pérignat-sur-Allier - E-commerce,108,0.4,95
Provibat - Riorges - E-commerce,108,0.3,90
Crevat - Dagneux,106,0.32558139534883723,86
Dumeil - Brassac-les-Mines - E-commerce,106,0.6266666666666667,75
Lafon - Aurillac,106,0.5753424657534246,73
François Matériaux - Millau - E-commerce,105,0.3595505617977528,89
Weiss - Wasselonne,105,0.29545454545454547,88
Guenée Matériaux - Lecousse,104,0.4927536231884058,69
Labenne Rougier - Langon - E-commerce,104,0.26373626373626374,91
Unibois - Lure - E-commerce,104,0.3013698630136986,73
Millancourt et Nicolas - Gamaches - E-commerce,103,0.5753424657534246,73
Vilvert - Montbrison - E-commerce,103,0.2840909090909091,88
Bouillier Matériaux - Perrigny,102,0.425,80
Labenne Rougier - Pauillac - E-commerce,102,0.3783783783783784,74
Conil - Peyruis - E-commerce,101,0.4155844155844156,77
Jacq - Callac - E-commerce,101,0.2391304347826087,92
Mudry Lombard - Margencel - E-commerce,101,0.43209876543209874,81
Dufrançais - Abrest,100,0.40229885057471265,87
Martinique Matériaux - Lamentin (Martinique),99,0.3013698630136986,73
Viviès - Baie-Mahault (Guadeloupe),99,0.32941176470588235,85
Lesimple - Gétigné - E-commerce,98,0.3855421686746988,83
Millancourt et Nicolas - Friville-Escarbotin - E-commerce,98,0.5454545454545454,77
Pomes Darré - Tournay,98,0.2,90
Derrey - Sainte-Marguerite - E-commerce,97,0.4857142857142857,70
Farel Clavel - LIsle-sur-la-Sorgue - E-commerce,97,0.25882352941176473,85
GCCO - Autun - E-commerce,94,0.3333333333333333,81
MCF - Lapalisse - E-commerce,94,0.5344827586206896,58
Bernard Reymond - Gap,93,0.3508771929824561,57
Lauzin - Valence dAgen - E-commerce,93,0.24358974358974358,78
Sahores - Orthez - E-commerce,93,0.24691358024691357,81
Delmonico Dorel - Montelimar,92,0.3013698630136986,73
Delmonico Dorel - Saint-Vallier,90,0.3116883116883117,77
Marion Matériaux - Limoux,90,0.27631578947368424,76
Brunel - Lunel - E-commerce,89,0.273972602739726,73
Laboissière - Blois,89,0.30666666666666664,75
Saint Paulienne - Rousson,88,0.2972972972972973,74
Feignies - Feignies - E-commerce,86,0.4411764705882353,68
Charbonnier - Chauffailles - E-commerce,85,0.6440677966101694,59
Delmonico Dorel - Pierrelatte - E-commerce,85,0.3382352941176471,68
Lesimple - Pouzauges - E-commerce,85,0.24358974358974358,78
Socramat - La Guerche-de-Bretagne - E-commerce,85,0.3333333333333333,75
François Matériaux - Gaillac - E-commerce,84,0.2876712328767123,73
Brochard - Bourges - E-commerce,83,0.1794871794871795,78
Envain Matériaux - Valenciennes,82,0.4375,64
Matériaux Picards - Nesle - E-commerce,82,0.352112676056338,71
Terral - Lacaune - E-commerce,82,0.25757575757575757,66
Derrey - Longeville-en-Barrois - E-commerce,80,0.4915254237288136,59
François Matériaux - Figeac - E-commerce,80,0.21621621621621623,74
Baffet Matériaux - Brive-la-Gaillarde,79,0.35294117647058826,68
Bray - Brasles,79,0.28125,64
François Matériaux - Marssac-sur-Tarn - E-commerce,79,0.16216216216216217,74
Cazorro Matériaux - Auterive - E-commerce,78,0.25,68
MCF - Bourbon-Lancy - E-commerce,78,0.38461538461538464,52
Mathieu - Audun-le-Roman - E-commerce,78,0.3220338983050847,59
Envain Matériaux - Wallers,76,0.2571428571428571,70
Vilvert - Sainte-Foy-lArgentière - E-commerce,76,0.39285714285714285,56
Bléger - Colmar,75,0.41379310344827586,58
Boulard Verdier - Pontgibaud - E-commerce,75,0.62,50
Matériaux Périgourdins - Coulounieix-Chamiers,75,0.36065573770491804,61
Raynal - Manzat,75,0.32857142857142857,70
François Matériaux - La Primaube - E-commerce,74,0.5081967213114754,61
Lorcamat - Rombas,74,0.22727272727272727,66
Matériaux Lacoste - Maiche,74,0.3050847457627119,59
Spire - Sedan,74,0.2903225806451613,62
Cazorro Matériaux - Carbonne - E-commerce,73,0.3275862068965517,58
Kammerer - Hirsingue,73,0.27692307692307694,65
Labenne Rougier - Arbanats - E-commerce,73,0.20634920634920634,63
Labenne Rougier - Saint-Julien-en-Born - E-commerce,73,0.32786885245901637,61
Henrio - Mellac - E-commerce,71,0.38333333333333336,60
Matériaux Jobert - Villeneuve-sur-Yonne,70,0.3333333333333333,60
Moreau Matériaux - Saint-Varent,70,0.2537313432835821,67
Brochard - Saint-Maur - E-commerce,69,0.3409090909090909,44
Broulard Matériaux - Sourzac - E-commerce,69,0.24193548387096775,62
Flamary - Saint-Priest-de-Gimel,69,0.41509433962264153,53
Suhas Matériaux - Peyrehorade - E-commerce,68,0.3333333333333333,54
Sosaca - Hyères,67,0.2545454545454545,55
Vaxivière - Eymoutiers,67,0.4411764705882353,34
Balagne Matériaux - Calvi - E-commerce,66,0.5121951219512195,41
Envain Matériaux - Lieu-Saint-Amand,66,0.5384615384615384,52
Labenne Rougier - Coutras - E-commerce,66,0.34615384615384615,52
Mercier - Onet-le-Château,66,0.2,60
Derrey - Pulnoy - E-commerce,65,0.37735849056603776,53
Labenne Rougier - Duras - E-commerce,65,0.43137254901960786,51
Avesnes - Avesnelles - E-commerce,64,0.4883720930232558,43
Charbonnier - Génelard,64,0.5882352941176471,51
Derrey - Lunéville - E-commerce,64,0.44680851063829785,47
François Matériaux - Saint-Affrique,64,0.34615384615384615,52
La Frontière - Givet,64,0.37254901960784315,51
Labenne Rougier - Lacanau - E-commerce,64,0.4666666666666667,45
Montagnat - Jardin,64,0.3275862068965517,58
CGB - Nogent-sur-Seine,63,0.40425531914893614,47
François Matériaux - Aubin - E-commerce,62,0.55,40
Labenne Rougier - Lacanau (Bâti) - E-commerce,62,0.5581395348837209,43
Spire - Rozoy-sur-Serre,62,0.15789473684210525,57
Terrasson - Vivonne,62,0.425531914893617,47
Bénatru - Salaise-sur-Sanne,61,0.3137254901960784,51
Cayreyre - Aubenas,61,0.25,48
Périgord Matériaux - Brantôme en Périgord,61,0.5517241379310345,29
SECB - Bellac,61,0.3617021276595745,47
Spire - Sault-lès-Rethel,61,0.3333333333333333,51
Baffet Matériaux - Saint-Pantaléon-de-Larche,60,0.3541666666666667,48
Maisonnier - Bouresse - E-commerce,60,0.37254901960784315,51
Multimat Étain - Étain,60,0.2682926829268293,41
Vallier - Saint-Pierre-en-Faucigny,60,0.42592592592592593,54
Farel Clavel - Remoulins - E-commerce,59,0.5,46
Labenne Rougier - Léon - E-commerce,59,0.29411764705882354,51
Sodimat - Noyon,59,0.3,50
Brochard - Cosne-Cours-sur-Loire - E-commerce,58,0.43243243243243246,37
Cabia Matériaux - Clamecy,58,0.22641509433962265,53
Guenée Matériaux - Mortain,58,0.19230769230769232,52
CGB - Maizières-la-Grande-Paroisse,57,0.35135135135135137,37
Envain Matériaux - Orchies,57,0.4489795918367347,49
François Matériaux - Couffouleux - E-commerce,57,0.3137254901960784,51
Maury - Saint-Médard-dExcideuil - E-commerce,57,0.36363636363636365,44
Favre dAnne - Flumet - E-commerce,56,0.4411764705882353,34
JT Matériaux - Marault - E-commerce,56,0.5217391304347826,46
Stock du Gatinais - Juranville,56,0.3673469387755102,49
Bon et Bosc - Cadours,55,0.17307692307692307,52
Brochard - Vierzon - E-commerce,55,0.1590909090909091,44
D.M.T - La Tremblade,55,0.2857142857142857,49
DBM - Saint-Gilles,55,0.42105263157894735,38
Jacq - Pont-lAbbé - E-commerce,55,0.3404255319148936,47
Larroque - Saint-Michel-Loubéjou,55,0.3409090909090909,44
Rolampont - Rolampont - E-commerce,55,0.3877551020408163,49
Boromat - Ambert - E-commerce,54,0.36585365853658536,41
Farel Clavel - Uzes - E-commerce,54,0.5,44
Manen - Anduze,54,0.34146341463414637,41
Millancourt et Nicolas - Morvillers-Saint-Saturnin - E-commerce,54,0.631578947368421,38
Vialleix  - Bort-les-Orgues,54,0.631578947368421,38
Farel Clavel - Rochefort-du-Gard - E-commerce,52,0.2765957446808511,47
Labenne Rougier - Aiguillon - E-commerce,52,0.3333333333333333,42
Stoker - Ménétreux-le-Pitois - E-commerce,52,0.32432432432432434,37
Tonetti - Aubagne,52,0.41304347826086957,46
Henrio - Plouay - E-commerce,51,0.4,45
Millancourt et Nicolas - Ponts-et-Marais,51,0.5,32
Vallier - Marignier,51,0.5581395348837209,43
Datas - Seissan - E-commerce,50,0.2222222222222222,45
Bléger - Wintzenheim,49,0.3333333333333333,33
CGB - Nangis,49,0.2857142857142857,35
Léger - Villeperdue,49,0.3,40
Stock du Gatinais - Ouzouer-sur-Loire,49,0.32432432432432434,37
Charbonnier - Baudemont - E-commerce,48,0.5714285714285714,35
Derrey - Rambervillers - E-commerce,48,0.5277777777777778,36
Baffet Matériaux - Objat,47,0.48484848484848486,33
Cazorro Matériaux - Martres-Tolosane,47,0.30952380952380953,42
François Matériaux - Espalion - E-commerce,47,0.38461538461538464,26
Guenée Matériaux - Saint-James,47,0.41379310344827586,29
Quissac Matériaux - Quissac,47,0.3157894736842105,38
Derrey - Étival-Clairefontaine - E-commerce,46,0.5365853658536586,41
Durruty Matériaux - Larressore - E-commerce,46,0.35,40
Flamary - Argentat-sur-Dordogne - E-commerce,46,0.5757575757575758,33
Raynal - Gannat,46,0.6111111111111112,36
Sosaca - Saint-Maximin-la-Sainte-Baume,46,0.28888888888888886,45
BRIQUETERIE DARLON - ARLON,45,0.14634146341463414,41
Dufrançais - Courpière,45,0.4482758620689655,29
Balagne Matériaux - LÎle-Rousse - E-commerce,44,0.5,34
Brochard - Belleville-sur-Loire - E-commerce,44,0.46875,32
Brochard - Saint-Amand-Montrond - E-commerce,44,0.4827586206896552,29
Matériaux Bressans - Montrevel-en-Bresse,44,0.2,40
Delmonico Dorel - Rive-de-Gier,43,0.4117647058823529,34
Matériaux Darnand - Marboz,43,0.11627906976744186,43
Bernard Reymond - Puy-Saint-André,42,0.5333333333333333,30
Boulard Verdier - Gerzat - E-commerce,42,0.5357142857142857,28
Gautier Matériaux - Montmoreau-Saint-Cybard,42,0.37142857142857144,35
Datas - Vic-Fezensac,41,0.4838709677419355,31
François Matériaux - Saint-Benoît-de-Carmaux - E-commerce,41,0.2903225806451613,31
Labenne Rougier - La Réole - E-commerce,41,0.3611111111111111,36
Lorcamat - Lemud,41,0.3870967741935484,31
Moreau Matériaux - Châlus - E-commerce,41,0.4782608695652174,23
Derrey - Poussay - E-commerce,40,0.5,26
Labenne Rougier - Miramont-de-Guyenne - E-commerce,40,0.5151515151515151,33
Bonnefoy Pascal - Langogne - E-commerce,39,0.36363636363636365,22
Envain Matériaux - Saint-Amand-les-Eaux,39,0.5172413793103449,29
Vibraye Matériaux - Vibraye - E-commerce,39,0.3235294117647059,34
CGB - Bray-sur-Seine,38,0.4074074074074074,27
Durruty Matériaux - Messanges - E-commerce,38,0.4090909090909091,22
Balagne Matériaux - Corte - E-commerce,37,0.11764705882352941,34
Brico Bâti Leveilleau - Conlie,37,0.3142857142857143,35
Provibat - Charlieu - E-commerce,37,0.2727272727272727,33
Raffort - Passy,37,0.25925925925925924,27
Sodimat - Grandvilliers,37,0.52,25
COMOBE - BARVAUX SUR OURTHE,36,0.25,32
