Sessions,SKU de produit,Nom des produits
1,1867523,"CORNIERE 100X100X2,5X2,2 SECABLE BLANC 9010 EN 3M"
1,1871461,Film anti-termites TERMIFILM UV+ - rouleau de 75m²
1,1894381,Clou HC6-15 + gaz P40-P800 - boîte de 500 pièces
1,1895575,Mastic sanitaire silicone translucide 310ml GEDIMAT PERFORMANCE PRO
1,1904043,"Seuil adhésivé Butyle alu anodisé titium 40 mm - 2,80 m"
1,1905162,"Vernis gel bois ciré AIR PROTECT incolore satiné - pot 0,25l"
1,1917994,Brise-vue haie artificielle - L.3 x h.2 m
1,1919850,Porte de service PVC DAKAR gris anthracite 7016 dormant 60 mm - 200 X 80 cm - gauche poussant
1,1919851,Porte de service PVC DAKAR gris anthracite 7016 dormant 60 mm - 200 X 80 cm - droit poussant
1,1920432,Porte coulissante pleine ATELIER LOFT blanc satin - 204 x 83 cm - kit B
1,1923327,Pétrole Qlima PURE - bidon de 20 l
1,1923640,Sous-couches masques taches blanc mat - pot de 0.5 litres
1,1923892,Cheville acier Ø14 x 55 mm + vis tête hexagonale Ø8 x 80 mm - sachet de 4 pièces
1,1928124,Meuble sous évier à poser mélaminé blanc 3 portes - 820 x 1200 x 570 mm
1,20021788,Pelle ronde col de cygne manche en bois - 290mm
1,20265786,"Grille à peinture acier galvanisé haut.24,4cm larg.19,4cm"
1,20488925,Brique de verre 195 nuagée incolore - 19 x 19 x 5 cm
1,20489281,"Tuile de verre ROMANE N7 BIS - 42,5 x 27 cm"
1,20489373,Tuile de verre GRANDE ROMANE TMB - 42 x 33 cm
1,20807658,Porte d'entrée PVC GALLUS blanc vitrage demi-lune dormant 60 mm avec tapées pour isolation 120 mm - 215 x 90 cm - droit poussant
1,20824051,Boitier serrure à encastrer axe 40mm cylindre blanc entraxe 70mm
1,20969233,Console équerre à visser acier laqué blanc 200 x 250 mm
1,21047152,Bande d'étanchéité autocollante MULTISEAL terre cuite 225mm - 10m
1,21188534,"Baguette d'angle Pin des Landes sans nud arrondie L.2,40 m - section 30 x 30 mm"
1,21188718,"Plinthe arrondie Pin des Landes sans nud - section 10 x 110 mm L.2,00 m"
1,21188985,"Tasseau Pin des Landes sans nuds L.2,00 m - 18 x 50 mm"
1,21192449,Plan de travail en Pin maritime français sans nud - 3 x 0.65 m Ep.36 mm
1,21202667,"Merlin éclateur 3,7kg manche novamax - 90cm"
1,21233135,"Plinthe arrondie Sapin du Nord L.2,40 m - section 10 x 110 mm "
1,21288661,Cornière anti-effraction marron pour grand modèle époxy
1,21340734,Manchon à joint MF PVC - D32
1,21441110,Dalle en pierre reconstituée OPUS RICHELIEU multiformat coloris champagne
1,21442988,"Plaquette de parement pierre reconstituée MANOIR ton pierre - boîte de 0,50 m²"
1,21484520,"Tuile de verre ROMANE TBF N5 - 43,5 x 28 cm"
1,21510946,Rouleau peinture monocouche AVANTAGE - 180 mm - fibres 9 mm
1,21550485,Grillage simple torsion galvanisé maille 50 x 50 mm - rouleau 25 x 1 m
1,21729911,Manchon à joint FF PVC - D40
1,21772337,Galet 40/60 mm blanc - sac de 25 kg
1,23118980,Pince à border droite - 100mm
1,23137684,"Quart de rond ouvert PVC blanc ép.8mm - 2,5m"
1,23150188,Vis connecteur tête torx CSA 5x40mm - boîte de 250 pièces
1,23319165,"Bati-support WC universel RAPID SL GROHE en métal - 113 x 50 x 19,5 cm"
1,23375475,"Echafaudage PIEGO PRO h.travail - 3,30m"
1,23390423,Pierre naturelle DE BAVIERE
1,23391697,Sable en big bag 1m3
1,23494879,"Laine de verre URSA ALU revêtue kraft - 1,5x1m Ep.50mm - R=1,40m².K/W."
1,23611597,Peinture SPOTMARKER - aérosol de 500 ml - rouge fluo
1,23657090,Pied de poteau type U à sceller - 70x70mm
1,23661820,Châssis d'accès au toit VLT 0000Z haut.61cm larg.46cm
