rayon,URL de la page,Sessions,Taux de rebond des pages
Ecrans - Clôtures,https://www.gedimat.fr/5-menuiserie-amenagement/32-menuiserie-exterieure/390-ecrans-clotures,10859,0.4415219611848825
Portails - Barrières,https://www.gedimat.fr/14-amenagements-exterieurs/90-portails-clotures-amenagements/143-portails-barrieres,10814,0.5423280423280423
Tubes et Raccords d&#039;évacuation eau,https://www.gedimat.fr/8-plomberie/53-evacuation/223-tubes-et-raccords-d-evacuation-eau,10602,0.47309284447072736
Madriers - Bastaings - Solivettes,https://www.gedimat.fr/2-couverture-bardage/311-bois-de-charpente/90-madriers-bastaings-solivettes,10467,0.4501689189189189
Receveurs,https://www.gedimat.fr/6-salle-de-bain-sanitaire/35-douches/971-receveurs,10364,0.42009283819628646
Dalles - Terrasses,https://www.gedimat.fr/3-isolation-cloison/17-isolation-thermique-et-phonique/71-dalles-terrasses,10180,0.5399113082039911
Caniveaux,https://www.gedimat.fr/1-materiaux-construction/6-assainissement-vrd/32-caniveaux,10129,0.46134161944799856
Béton cellulaire,https://www.gedimat.fr/1-materiaux-construction/1-construction/4-beton-cellulaire,10042,0.5044822949350067
Plans de travail - Crédences,https://www.gedimat.fr/7-cuisine/46-meubles-de-cuisine/194-plans-de-travail-credences,9676,0.4065650038769708
Portes - Parois de douche,https://www.gedimat.fr/6-salle-de-bain-sanitaire/35-douches/161-portes-parois-de-douche,9326,0.40572792362768495
Bois d&#039;ossature non aboutés,https://www.gedimat.fr/4-bois-panneaux/25-bois-d-ossature/101-bois-d-ossature-non-aboutes,9236,0.47112462006079026
Planchers,https://www.gedimat.fr/1-materiaux-construction/1-construction/7-planchers,9147,0.48259303721488594
Carrelages murs,https://www.gedimat.fr/7-cuisine/50-revetement-de-cuisine/309-carrelages-murs,9068,0.3167179487179487
"Cuisines en kit, prêtes à monter",https://www.gedimat.fr/7-cuisine/46-meubles-de-cuisine/191-cuisines-en-kit-pretes-a-monter,9015,0.46315028901734107
WC - Mécanismes,https://www.gedimat.fr/6-salle-de-bain-sanitaire/37-espace-toilettes/168-wc-mecanismes,8861,0.43138075313807533
Poutres - Poteaux,https://www.gedimat.fr/2-couverture-bardage/311-bois-de-charpente/96-poutres-poteaux,8638,0.49271602474555976
Planches de rives - Sous-faces,https://www.gedimat.fr/2-couverture-bardage/9-clins-bardage/46-planches-de-rives-sous-faces,8311,0.453458138325533
